Train Report:
Train ID: T001, Train Name: Express, Source: Station A, Destination: Station B, Total Seats: 100, Available Seats: 98
Train ID: T002, Train Name: Local, Source: Station C, Destination: Station D, Total Seats: 150, Available Seats: 150
Train ID: T003, Train Name: Regional, Source: Station E, Destination: Station F, Total Seats: 120, Available Seats: 120
Train ID: T004, Train Name: Intercity, Source: Station G, Destination: Station H, Total Seats: 200, Available Seats: 200
Train ID: T005, Train Name: Fast, Source: Station I, Destination: Station J, Total Seats: 110, Available Seats: 110
Train ID: T006, Train Name: Metro, Source: Station K, Destination: Station L, Total Seats: 80, Available Seats: 80
Train ID: T007, Train Name: Slow, Source: Station M, Destination: Station N, Total Seats: 130, Available Seats: 130
Train ID: T008, Train Name: Express, Source: Station O, Destination: Station P, Total Seats: 90, Available Seats: 90
Train ID: T009, Train Name: Local, Source: Station Q, Destination: Station R, Total Seats: 70, Available Seats: 70
Train ID: T010, Train Name: Regional, Source: Station S, Destination: Station T, Total Seats: 140, Available Seats: 140
Train ID: T011, Train Name: Intercity, Source: Station U, Destination: Station V, Total Seats: 100, Available Seats: 100
Train ID: T012, Train Name: Fast, Source: Station W, Destination: Station X, Total Seats: 95, Available Seats: 95
Train ID: T013, Train Name: Metro, Source: Station Y, Destination: Station Z, Total Seats: 85, Available Seats: 85
Train ID: T014, Train Name: Slow, Source: Station A, Destination: Station B, Total Seats: 105, Available Seats: 105
Train ID: T015, Train Name: Express, Source: Station C, Destination: Station D, Total Seats: 125, Available Seats: 125
Train ID: T016, Train Name: Local, Source: Station E, Destination: Station F, Total Seats: 115, Available Seats: 115
Train ID: T017, Train Name: Regional, Source: Station G, Destination: Station H, Total Seats: 135, Available Seats: 135
Train ID: T018, Train Name: Intercity, Source: Station I, Destination: Station J, Total Seats: 145, Available Seats: 145
Train ID: T019, Train Name: Fast, Source: Station K, Destination: Station L, Total Seats: 155, Available Seats: 155
Train ID: T020, Train Name: Metro, Source: Station M, Destination: Station N, Total Seats: 165, Available Seats: 165
Train ID: T021, Train Name: Slow, Source: Station O, Destination: Station P, Total Seats: 175, Available Seats: 175
Train ID: T022, Train Name: Express, Source: Station Q, Destination: Station R, Total Seats: 185, Available Seats: 185
Train ID: T023, Train Name: Local, Source: Station S, Destination: Station T, Total Seats: 195, Available Seats: 195
Train ID: T024, Train Name: Regional, Source: Station U, Destination: Station V, Total Seats: 205, Available Seats: 205
Train ID: T025, Train Name: Intercity, Source: Station W, Destination: Station X, Total Seats: 215, Available Seats: 215
Train ID: T026, Train Name: Fast, Source: Station Y, Destination: Station Z, Total Seats: 225, Available Seats: 225
Train ID: T027, Train Name: Metro, Source: Station A, Destination: Station B, Total Seats: 235, Available Seats: 235
Train ID: T028, Train Name: Slow, Source: Station C, Destination: Station D, Total Seats: 245, Available Seats: 245
Train ID: T029, Train Name: Express, Source: Station E, Destination: Station F, Total Seats: 255, Available Seats: 255
Train ID: T030, Train Name: Local, Source: Station G, Destination: Station H, Total Seats: 265, Available Seats: 265
Train ID: T031, Train Name: Regional, Source: Station I, Destination: Station J, Total Seats: 275, Available Seats: 275
Train ID: T032, Train Name: Intercity, Source: Station K, Destination: Station L, Total Seats: 285, Available Seats: 285
Train ID: T033, Train Name: Fast, Source: Station M, Destination: Station N, Total Seats: 295, Available Seats: 295
Train ID: T034, Train Name: Metro, Source: Station O, Destination: Station P, Total Seats: 305, Available Seats: 305
Train ID: T035, Train Name: Slow, Source: Station Q, Destination: Station R, Total Seats: 315, Available Seats: 315
Train ID: T036, Train Name: Express, Source: Station S, Destination: Station T, Total Seats: 325, Available Seats: 325
Train ID: T037, Train Name: Local, Source: Station U, Destination: Station V, Total Seats: 335, Available Seats: 335
Train ID: T038, Train Name: Regional, Source: Station W, Destination: Station X, Total Seats: 345, Available Seats: 345
Train ID: T039, Train Name: Intercity, Source: Station Y, Destination: Station Z, Total Seats: 355, Available Seats: 355
Train ID: T040, Train Name: Fast, Source: Station A, Destination: Station B, Total Seats: 365, Available Seats: 365
