Total Revenue Earned from Each Train:
Train ID: 1, Train Name: Express Alpha, Revenue: 700
Train ID: 2, Train Name: Regional Beta, Revenue: 500
Train ID: 3, Train Name: Intercity Gamma, Revenue: 500
Train ID: 4, Train Name: Metro Delta, Revenue: 200
Train ID: 5, Train Name: Highspeed Epsilon, Revenue: 100
Train ID: 6, Train Name: Local Zeta, Revenue: 600
Train ID: 7, Train Name: Express Eta, Revenue: 200
Train ID: 8, Train Name: Intercity Theta, Revenue: 300
Train ID: 9, Train Name: Regional Iota, Revenue: 400
Train ID: 10, Train Name: Metro Kappa, Revenue: 100
Train ID: 11, Train Name: Highspeed Lambda, Revenue: 300
Train ID: 12, Train Name: Local Mu, Revenue: 500
Train ID: 13, Train Name: Express Nu, Revenue: 200
Train ID: 14, Train Name: Regional Xi, Revenue: 400
Train ID: 15, Train Name: Intercity Omicron, Revenue: 100
Train ID: 16, Train Name: Metro Pi, Revenue: 200
Train ID: 17, Train Name: Highspeed Rho, Revenue: 0
Train ID: 18, Train Name: Local Sigma, Revenue: 0
Train ID: 19, Train Name: Express Tau, Revenue: 0
Train ID: 20, Train Name: Regional Upsilon, Revenue: 0

Total Revenue from All Trains: 5300
