Train Details and Available Seats:
Train ID: 1, Train Name: Express Alpha, Source: New York, Destination: Washington, Available Seats: 113
Train ID: 2, Train Name: Regional Beta, Source: Washington, Destination: Philadelphia, Available Seats: 85
Train ID: 3, Train Name: Intercity Gamma, Source: Philadelphia, Destination: New York, Available Seats: 105
Train ID: 4, Train Name: Metro Delta, Source: Boston, Destination: New York, Available Seats: 148
Train ID: 5, Train Name: Highspeed Epsilon, Source: New York, Destination: Chicago, Available Seats: 199
Train ID: 6, Train Name: Local Zeta, Source: Chicago, Destination: Detroit, Available Seats: 74
Train ID: 7, Train Name: Express Eta, Source: Detroit, Destination: New York, Available Seats: 128
Train ID: 8, Train Name: Intercity Theta, Source: New York, Destination: San Francisco, Available Seats: 247
Train ID: 9, Train Name: Regional Iota, Source: San Francisco, Destination: Los Angeles, Available Seats: 166
Train ID: 10, Train Name: Metro Kappa, Source: Los Angeles, Destination: Las Vegas, Available Seats: 139
Train ID: 11, Train Name: Highspeed Lambda, Source: Las Vegas, Destination: Seattle, Available Seats: 207
Train ID: 12, Train Name: Local Mu, Source: Seattle, Destination: Denver, Available Seats: 95
Train ID: 13, Train Name: Express Nu, Source: Denver, Destination: Houston, Available Seats: 158
Train ID: 14, Train Name: Regional Xi, Source: Houston, Destination: Atlanta, Available Seats: 176
Train ID: 15, Train Name: Intercity Omicron, Source: Atlanta, Destination: Miami, Available Seats: 219
Train ID: 16, Train Name: Metro Pi, Source: Miami, Destination: Orlando, Available Seats: 108
Train ID: 17, Train Name: Highspeed Rho, Source: Orlando, Destination: Tampa, Available Seats: 122
Train ID: 18, Train Name: Local Sigma, Source: Tampa, Destination: Atlanta, Available Seats: 84
Train ID: 19, Train Name: Express Tau, Source: Atlanta, Destination: Nashville, Available Seats: 136
Train ID: 20, Train Name: Regional Upsilon, Source: Nashville, Destination: St. Louis, Available Seats: 99
Train ID: 21, Train Name: Intercity Phi, Source: St. Louis, Destination: Indianapolis, Available Seats: 148
Train ID: 22, Train Name: Metro Chi, Source: Indianapolis, Destination: Columbus, Available Seats: 127
Train ID: 23, Train Name: Highspeed Psi, Source: Columbus, Destination: Pittsburgh, Available Seats: 165
Train ID: 24, Train Name: Local Omega, Source: Pittsburgh, Destination: Philadelphia, Available Seats: 108
Train ID: 25, Train Name: Express Alpha II, Source: Philadelphia, Destination: Washington, Available Seats: 117
Train ID: 26, Train Name: Regional Beta II, Source: Washington, Destination: New York, Available Seats: 89
Train ID: 27, Train Name: Intercity Gamma II, Source: New York, Destination: Chicago, Available Seats: 195
Train ID: 28, Train Name: Metro Delta II, Source: Chicago, Destination: Detroit, Available Seats: 148
Train ID: 29, Train Name: Highspeed Epsilon II, Source: Detroit, Destination: San Francisco, Available Seats: 246
Train ID: 30, Train Name: Local Zeta II, Source: San Francisco, Destination: Los Angeles, Available Seats: 168
Train ID: 31, Train Name: Express Eta II, Source: Los Angeles, Destination: Seattle, Available Seats: 154
Train ID: 32, Train Name: Intercity Theta II, Source: Seattle, Destination: Denver, Available Seats: 217
Train ID: 33, Train Name: Regional Iota II, Source: Denver, Destination: Houston, Available Seats: 179
Train ID: 34, Train Name: Metro Kappa II, Source: Houston, Destination: Atlanta, Available Seats: 146
Train ID: 35, Train Name: Highspeed Lambda II, Source: Atlanta, Destination: Miami, Available Seats: 198
Train ID: 36, Train Name: Local Mu II, Source: Miami, Destination: Orlando, Available Seats: 125
Train ID: 37, Train Name: Express Nu II, Source: Orlando, Destination: Tampa, Available Seats: 139
Train ID: 38, Train Name: Regional Xi II, Source: Tampa, Destination: Atlanta, Available Seats: 96
Train ID: 39, Train Name: Intercity Omicron II, Source: Atlanta, Destination: Nashville, Available Seats: 158
Train ID: 40, Train Name: Metro Pi II, Source: Nashville, Destination: St. Louis, Available Seats: 107
Train ID: 41, Train Name: Highspeed Rho II, Source: St. Louis, Destination: Indianapolis, Available Seats: 178
Train ID: 42, Train Name: Local Sigma II, Source: Indianapolis, Destination: Columbus, Available Seats: 144
Train ID: 43, Train Name: Express Tau II, Source: Columbus, Destination: Pittsburgh, Available Seats: 156
Train ID: 44, Train Name: Regional Upsilon II, Source: Pittsburgh, Destination: Philadelphia, Available Seats: 129
Train ID: 45, Train Name: Intercity Phi II, Source: Philadelphia, Destination: Washington, Available Seats: 117
Train ID: 46, Train Name: Metro Chi II, Source: Washington, Destination: New York, Available Seats: 98
Train ID: 47, Train Name: Highspeed Psi II, Source: New York, Destination: Chicago, Available Seats: 205
Train ID: 48, Train Name: Local Omega II, Source: Chicago, Destination: Detroit, Available Seats: 159
Train ID: 49, Train Name: Express Alpha III, Source: Detroit, Destination: New York, Available Seats: 146
Train ID: 50, Train Name: Regional Beta III, Source: New York, Destination: San Francisco, Available Seats: 217
