Train Details and Available Seats:
Train ID: 1, Train Name: Express Alpha, Source: New York, Destination: Washington, Available Seats: 113
Train ID: 3, Train Name: Intercity Gamma, Source: Philadelphia, Destination: New York, Available Seats: 105
Train ID: 4, Train Name: Metro Delta, Source: Boston, Destination: New York, Available Seats: 148
Train ID: 6, Train Name: Local Zeta, Source: Chicago, Destination: Detroit, Available Seats: 74
Train ID: 7, Train Name: Express Eta, Source: Detroit, Destination: New York, Available Seats: 128
Train ID: 8, Train Name: Intercity Theta, Source: New York, Destination: San Francisco, Available Seats: 247
Train ID: 9, Train Name: Regional Iota, Source: San Francisco, Destination: Los Angeles, Available Seats: 166
Train ID: 10, Train Name: Metro Kappa, Source: Los Angeles, Destination: Las Vegas, Available Seats: 139
Train ID: 11, Train Name: Highspeed Lambda, Source: Las Vegas, Destination: Seattle, Available Seats: 207
Train ID: 12, Train Name: Local Mu, Source: Seattle, Destination: Denver, Available Seats: 95
Train ID: 13, Train Name: Express Nu, Source: Denver, Destination: Houston, Available Seats: 158
Train ID: 14, Train Name: Regional Xi, Source: Houston, Destination: Atlanta, Available Seats: 176
Train ID: 15, Train Name: Intercity Omicron, Source: Atlanta, Destination: Miami, Available Seats: 219
Train ID: 16, Train Name: Metro Pi, Source: Miami, Destination: Orlando, Available Seats: 108
Train ID: 17, Train Name: Highspeed Rho, Source: Orlando, Destination: Tampa, Available Seats: 125
Train ID: 18, Train Name: Local Sigma, Source: Tampa, Destination: Atlanta, Available Seats: 90
Train ID: 19, Train Name: Express Tau, Source: Atlanta, Destination: Nashville, Available Seats: 140
